bus_id,line_id,starting_city,departure_timestep,arrival_city,arrival_timestep,day_type,E_total_start,E_total_end,E_total,travel_time
30101,301,Gordola,280,Losone,319,weekday,4.347,29.004,24.657,39
30102,301,Losone,305,Gordola,348,weekday,74.284,92.331,18.047,43
30103,301,Gordola,310,Losone,349,weekday,4.347,29.004,24.657,39
30101,301,Losone,320,Gordola,363,weekday,29.031,47.078,18.047,43
30104,301,Losone,333,Gordola,380,weekday,125.424,143.641,18.217,47
30105,301,Gordola,340,Losone,378,weekday,66.201,90.464,24.263,38
30103,301,Losone,350,Gordola,396,weekday,29.032,47.163,18.131,46
30102,301,Gordola,355,Losone,393,weekday,92.526,116.789,24.263,38
30106,301,Losone,363,Gordola,410,weekday,68.132,86.35,18.218,47
30101,301,Gordola,370,Losone,409,weekday,47.273,71.931,24.658,39
30107,301,Losone,373,Gordola,420,weekday,54.329,72.547,18.218,47
30108,301,Gordola,380,Losone,419,weekday,27.83,52.488,24.658,39
30105,301,Losone,383,Gordola,430,weekday,90.601,108.819,18.218,47
30104,301,Gordola,390,Losone,429,weekday,143.919,168.578,24.659,39
30102,301,Losone,393,Gordola,440,weekday,116.789,135.007,18.218,47
30103,301,Gordola,400,Losone,439,weekday,47.276,71.935,24.659,39
30109,301,Losone,403,Gordola,450,weekday,54.344,72.562,18.218,47
30110,301,Gordola,410,Losone,449,weekday,9.227,33.886,24.659,39
30101,301,Losone,413,Gordola,460,weekday,72.042,90.261,18.219,47
30106,301,Gordola,420,Losone,459,weekday,86.629,111.288,24.659,39
30108,301,Losone,423,Gordola,470,weekday,52.599,70.818,18.219,47
30107,301,Gordola,430,Losone,469,weekday,72.827,97.486,24.659,39
30104,301,Losone,433,Gordola,480,weekday,168.688,186.908,18.22,47
30105,301,Gordola,440,Losone,479,weekday,109.1,133.759,24.659,39
30103,301,Losone,443,Gordola,490,weekday,72.045,90.265,18.22,47
30102,301,Gordola,450,Losone,489,weekday,135.288,159.946,24.658,39
30110,301,Losone,453,Gordola,500,weekday,33.997,52.217,18.22,47
30109,301,Gordola,460,Losone,499,weekday,72.843,97.502,24.659,39
30106,301,Losone,463,Gordola,510,weekday,111.399,129.618,18.219,47
30101,301,Gordola,470,Losone,509,weekday,90.542,115.2,24.658,39
30107,301,Losone,473,Gordola,520,weekday,97.597,115.815,18.218,47
