starting_station,arrival_station,distance_km,avg_travel_time_min
Depot,Depot,0,0
Depot,Piazza_Castello,1,2
Depot,Stazione,1.5,10
Depot,Gordola,7.6,13
Depot,Brione,4,26
Depot,Lido,2.1,11
Depot,Caserma,3,11
Depot,Losone,2.5,11
Depot,Delta_Maggia,2.5,10
Piazza_Castello,Depot,1,3
Piazza_Castello,Piazza_Castello,0,0
Piazza_Castello,Stazione,1.2,10
Piazza_Castello,Gordola,1000,1000
Piazza_Castello,Brione,1000,1000
Piazza_Castello,Lido,1000,1000
Piazza_Castello,Caserma,4,11
Piazza_Castello,Losone,4,13
Piazza_Castello,Delta_Maggia,1000,1000
Stazione,Depot,1.5,7
Stazione,Piazza_Castello,1.2,5
Stazione,Stazione,0,0
Stazione,Gordola,6.4,19
Stazione,Brione,2.8,18
Stazione,Lido,1.4,4
Stazione,Caserma,4.7,16
Stazione,Losone,3.9,18
Stazione,Delta_Maggia,2.5,8
Gordola,Depot,7.6,12
Gordola,Piazza_Castello,1000,1000
Gordola,Stazione,6.4,19
Gordola,Gordola,0,0
Gordola,Brione,1000,1000
Gordola,Lido,1000,1000
Gordola,Caserma,1000,1000
Gordola,Losone,13.1,39
Gordola,Delta_Maggia,8.3,1000
Brione,Depot,4,26
Brione,Piazza_Castello,1000,1000
Brione,Stazione,3,21
Brione,Gordola,1000,1000
Brione,Brione,0,0
Brione,Lido,6.3,28
Brione,Caserma,1000,1000
Brione,Losone,1000,1000
Brione,Delta_Maggia,7,29
Lido,Depot,2.1,9
Lido,Piazza_Castello,1000,1000
Lido,Stazione,1.4,10
Lido,Gordola,1000,1000
Lido,Brione,7,25
Lido,Lido,0,0
Lido,Caserma,1000,1000
Lido,Losone,1000,1000
Lido,Delta_Maggia,0.7,4
Caserma,Depot,3,9
Caserma,Piazza_Castello,4.5,14
Caserma,Stazione,4.8,24
Caserma,Gordola,1000,1000
Caserma,Brione,1000,1000
Caserma,Lido,1000,1000
Caserma,Caserma,0,0
Caserma,Losone,0.7,2
Caserma,Delta_Maggia,1000,1000
Losone,Depot,2.5,11
Losone,Piazza_Castello,3.4,16
Losone,Stazione,4,26
Losone,Gordola,13.2,46
Losone,Brione,1000,1000
Losone,Lido,1000,1000
Losone,Caserma,0.7,2
Losone,Losone,0,0
Losone,Delta_Maggia,1000,1000
Delta_Maggia,Depot,2.5,10
Delta_Maggia,Piazza_Castello,1000,1000
Delta_Maggia,Stazione,2.4,8
Delta_Maggia,Gordola,1000,1000
Delta_Maggia,Brione,6.9,26
Delta_Maggia,Lido,0.7,1
Delta_Maggia,Caserma,1000,1000
Delta_Maggia,Losone,1000,1000
Delta_Maggia,Delta_Maggia,0,0
